"class","order","family","genus","species","subspecies","common_name","female_maturity_d","litter_or_clutch_size_n","litters_or_clutches_per_y","adult_body_mass_g","maximum_longevity_y","gestation_d","weaning_d","birth_or_hatching_weight_g","weaning_weight_g","egg_mass_g","incubation_d","fledging_age_d","longevity_y","male_maturity_d","inter_litter_or_interbirth_interval_y","female_body_mass_g","male_body_mass_g","no_sex_body_mass_g","egg_width_mm","egg_length_mm","fledging_mass_g","adult_svl_cm","male_svl_cm","female_svl_cm","birth_or_hatching_svl_cm","female_svl_at_maturity_cm","female_body_mass_at_maturity_g","no_sex_svl_cm","no_sex_maturity_d"
"Aves","Accipitriformes","Accipitridae","Accipiter","soloensis",-999,"Chinese Sparrowhawk",726.936,3.5,-999,161,-999,-999,-999,-999,-999,17,-999,-999,-999,-999,-999,192.5,149.5,-999,-999,-999,-999,27.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","striatus",-999,"Sharp-shinned Hawk",547.875,4.25,1,138.5,19.9,-999,-999,-999,-999,19.3,33,24.25,12.58333333,365,-999,174,103,138.5,-999,-999,-999,29,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","superciliosus",-999,"Tiny Hawk",-999,1.85,-999,73.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,134,73.875,-999,-999,-999,-999,23,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","tachiro",-999,"African Goshawk",-999,2.45,1.5,298.5,-999,-999,-999,-999,-999,34,29,32,-999,-999,-999,340.5,203.5,341.85,-999,-999,-999,38.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","toussenelii",-999,"Red-chested Goshawk",-999,2.45,1.5,298.5,-999,-999,-999,-999,-999,34,29,32,-999,-999,-999,340.5,203.5,341.85,-999,-999,-999,38.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","trinotatus",-999,"Spot-tailed Sparrowhawk",-999,-999,-999,146.25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,146.25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","trivirgatus",-999,"Crested Goshawk",-999,2,-999,276,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,353,199,-999,-999,-999,-999,38,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","ventralis",-999,"Plain-breasted Hawk",547.875,4.25,1,138.5,19.9,-999,-999,-999,-999,19.3,33,24.25,12.58333333,365,-999,174,103,138.5,-999,-999,-999,29,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Accipiter","virgatus",-999,"Besra",-999,3.5,-999,113.5,-999,-999,-999,-999,-999,18,-999,-999,-999,-999,-999,141.5,101.825,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Aegypius","monachus",-999,"Cinereous Vulture",1999.074,1,1,9625,39,-999,-999,-999,-999,243,53.5,112.5,32.25,-999,-999,10000,9250,8200,-999,-999,-999,110,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Aegypius","occipitalis",-999,"-999",-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,77,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Aquila","adalberti",-999,"Spanish Imperial Eagle",1767.453,2.5,1,3262,56,-999,-999,78,-999,132,43,71,44.5,-999,-999,3873,2624,3000,-999,-999,-999,76,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Aquila","africana",-999,"Cassin's Hawk-Eagle",-999,-999,-999,1060.125,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1153,993.75,1046.25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Aquila","audax",-999,"Wedge-tailed Eagle",1638.279,2,2,3466,40,-999,-999,-999,-999,143,43,79,33.2,1095.75,1,3855,3041.5,3402,-999,-999,-999,95.5,-999,-999,-999,-999,-999,-999,1095.75
"Aves","Accipitriformes","Accipitridae","Aquila","ayresii",-999,"-999",-999,1.5,1,812,-999,-999,-999,-999,-999,72,45,75,-999,-999,-999,910,714,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Aquila","chrysaetos",-999,"Golden Eagle",1460,2,1,4383,48,-999,-999,104.05,-999,142,44,74.5,32,1460,-999,4692.25,3708.25,3640.75,-999,-999,3518,78,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Aquila","fasciata",-999,"Bonelli's Eagle",1090.404,2,1,2000,20,-999,-999,-999,-999,112,39.25,62.5,20,-999,-999,2500,1560,2049,-999,-999,-999,61,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Aquila","gurneyi",-999,"Gurney's Eagle",-999,-999,-999,3060,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3060,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Aquila","heliaca",-999,"Eastern Imperial Eagle",1635.606,2.5,1,3262,56,-999,-999,78,-999,132.25,43,70.5,56,-999,-999,3845,2949,-999,-999,-999,-999,76,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Aquila","nipalensis",-999,"Steppe Eagle",1453.872,2,1,2534.5,42.5,-999,-999,92.5,-999,117,44.5,84,40.65,-999,-999,2987,2333,2486.5,-999,-999,-999,68.25,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Aquila","rapax",-999,"Tawny Eagle",1453.872,2,1,2347,42.5,-999,-999,92.5,-999,105.4,44.5,84,40.3,-999,-999,2405.5,2034.6,2486.5,-999,-999,-999,66,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Aquila","spilogaster",-999,"African Hawk-Eagle",1453.872,2,1,1413.833333,-999,-999,-999,-999,-999,87,43,69,-999,-999,-999,1631,1318,1420,-999,-999,-999,58.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Aquila","verreauxii",-999,"Verreaux's Eagle",1817.34,2,1,4195,40,-999,-999,95,-999,147.5,44.5,94,40,-999,-999,4355.5,3665,4195,-999,-999,-999,84,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Aviceda","cuculoides",-999,"African Cuckoo-Hawk",-999,2,1,275.75,-999,-999,-999,-999,-999,31.4,32.5,29,-999,-999,-999,-999,-999,275.75,-999,-999,-999,40.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Aviceda","jerdoni",-999,"Jerdon's Baza",-999,2.7,-999,363,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,363,-999,-999,-999,-999,44.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Aviceda","leuphotes",-999,"Black Baza",-999,2.7,-999,196,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,196,-999,-999,-999,31.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Aviceda","subcristata",-999,"Pacific Baza",-999,2.5,-999,328,-999,-999,-999,-999,-999,29,-999,-999,-999,-999,-999,346.875,308.75,-999,-999,-999,-999,40.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Busarellus","nigricollis",-999,"Black-collared Hawk",-999,1.75,-999,614,-999,-999,-999,-999,-999,64,-999,-999,-999,-999,-999,956,613.5,-999,-999,-999,-999,52.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Butastur","indicus",-999,"Grey-faced Buzzard",726.936,3,-999,402,8.5,-999,-999,-999,-999,42,-999,35,8.5,-999,-999,433,400.5,-999,-999,-999,-999,44.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Butastur","liventer",-999,"Rufous-winged Buzzard",-999,2.7,-999,338,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,338,-999,-999,-999,38,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Butastur","rufipennis",-999,"Grasshopper Buzzard",-999,2,-999,335,-999,-999,-999,-999,-999,34,-999,-999,-999,-999,-999,344,326,-999,-999,-999,-999,41.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Butastur","teesa",-999,"White-eyed Buzzard",-999,3,-999,325,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,325,-999,-999,-999,40.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","albigula",-999,"White-throated Hawk",726.936,2,-999,495,-999,-999,-999,-999,-999,48,-999,-999,-999,-999,-999,583,432.5,-999,-999,-999,-999,40.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","albonotatus",-999,"Zone-tailed Hawk",-999,2,-999,757,-999,-999,-999,-999,-999,58,35,38.5,-999,-999,-999,886,628,-999,-999,-999,-999,51,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","archeri",-999,"Archer's Buzzard",1090.404,2,1,1062.333333,-999,-999,-999,30,-999,71,39.5,48.5,-999,-999,-999,1330,988,1064,-999,-999,-999,50.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","augur",-999,"Augur Buzzard",1090.404,2,1,1060.666667,-999,-999,-999,30,-999,68,39.5,48.5,-999,-999,-999,1165,988,1064,-999,-999,-999,51.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","auguralis",-999,"Red-necked Buzzard",-999,2.5,-999,670,-999,-999,-999,-999,-999,54,-999,-999,-999,-999,-999,760,580,-999,-999,-999,-999,46,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","bannermani",-999,"Cape Verde Buzzard",730,3,1,990.5,28.8,-999,-999,36,-999,60.7,34,41,25.33333333,730,-999,1141.5,805,759,-999,-999,-999,49.25,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","brachypterus",-999,"Madagascan Buzzard",-999,2,-999,511,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,511,-999,-999,-999,44,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","brachyurus",-999,"Short-tailed Hawk",726.936,2,-999,495,-999,-999,-999,-999,-999,48,-999,-999,-999,-999,-999,583,432.5,-999,-999,-999,-999,40.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","burmanicus",-999,"Himalayan Buzzard",910.202,3,1,878.25,28.8,-999,-999,36,-999,58.5,35,36.75,25.33666667,730,-999,945.75,781,759,-999,-999,-999,46,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","buteo",-999,"Common Buzzard",910.202,3,1,878.25,28.8,-999,-999,36,-999,58.5,35,36.75,25.33666667,730,-999,945.75,781,759,-999,-999,-999,46,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","galapagoensis",-999,"Galapagos Hawk",-999,2.35,-999,1163.333333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1365.333333,961.3333333,-999,-999,-999,-999,50.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","hemilasius",-999,"Upland Buzzard",726.936,3,1,1342.5,-999,-999,-999,-999,-999,79,30,45,-999,-999,-999,1562.5,1175,-999,-999,-999,-999,62,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","jamaicensis",-999,"Red-tailed Hawk",730,2.75,1,1126,30.66666667,-999,-999,57.6,-999,68,31,45.25,25.5,730,-999,1224,1028,1053.9,-999,-999,-999,51.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","japonicus",-999,"Eastern Buzzard",910.202,3,1,878.25,28.8,-999,-999,36,-999,58.5,35,36.75,25.33666667,730,-999,945.75,781,759,-999,-999,-999,46,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","lagopus",-999,"Rough-legged Buzzard",728.468,4,1,945.5,18.8,-999,-999,42.31,-999,61.5,29.25,41,17.9,730,-999,1051.5,847,951,-999,-999,-999,53.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","lineatus",-999,"Red-shouldered Hawk",545.968,3.2,1,616,22.41666667,-999,-999,35,-999,57,33,42,20,365,-999,676.75,539,641.5,-999,-999,-999,42.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","nitidus",-999,"Grey-lined Hawk",726.936,2,-999,510.5833333,-999,-999,-999,-999,-999,43.2,32,42,-999,-999,-999,624,429.75,465,-999,-999,-999,41,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","oreophilus",-999,"Mountain Buzzard",-999,2,-999,700,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,700,-999,-999,-999,44.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","plagiatus",-999,"Grey Hawk",726.936,2,-999,510.5833333,-999,-999,-999,-999,-999,43.2,32,42,-999,-999,-999,624,429.75,465,-999,-999,-999,41,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","platypterus",-999,"Broad-winged Hawk",584.4,2.5,1,437,18.33333333,-999,-999,28,-999,41.75,29.5,39.75,16.32,365,-999,490,420,397,-999,-999,-999,37,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","regalis",-999,"Ferruginous Hawk",730,3.75,1,1469.5,23.7,-999,-999,51.6,-999,80,33.25,46,20,730,-999,1775,1162.5,1469.5,-999,-999,-999,58,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","ridgwayi",-999,"Ridgway's Hawk",-999,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,33,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","rufinus",-999,"Long-legged Buzzard",726.936,3.25,1,1174.5,8.5,-999,-999,-999,-999,73,33,46.5,8.5,-999,-999,1314,1035,-999,-999,-999,-999,52.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","rufofuscus",-999,"Jackal Buzzard",1090.404,2,1,1062.333333,-999,-999,-999,30,-999,71,39.5,48.5,-999,-999,-999,1330,988,1064,-999,-999,-999,50.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","socotraensis",-999,"Socotra Buzzard",726.936,3.25,1,1174.5,8.5,-999,-999,-999,-999,73,33,46.5,8.5,-999,-999,1314,1035,-999,-999,-999,-999,52.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","solitarius",-999,"Hawaiian Hawk",1095.7275,1,0.5,505,17,-999,-999,35,-999,62,38,61,17,-999,-999,606,414,-999,43.35,56.3,499.15,41.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","swainsoni",-999,"Swainson's Hawk",730,2.5,1,969.57,24.08333333,-999,-999,39.4,-999,61,32.75,43,16,730,-999,1109,811.25,958.5,-999,-999,-999,49,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","trizonatus",-999,"Forest Buzzard",-999,2,-999,700,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,700,-999,-999,-999,44.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteo","ventralis",-999,"Rufous-tailed Hawk",-999,2,-999,1210,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1285,1103,-999,-999,-999,-999,49.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteogallus","aequinoctialis",-999,"Rufous Crab Hawk",-999,1,-999,693.25,-999,-999,-999,-999,-999,60,-999,-999,-999,-999,-999,752.5,594.5,-999,-999,-999,-999,44.5,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteogallus","anthracinus",-999,"Common Black Hawk",730,1.5,1,996,13.5,-999,-999,-999,-999,65,38.25,46.5,13.5,730,-999,1199,793,972.5,-999,-999,-999,53,-999,-999,-999,-999,-999,-999,-999
"Aves","Accipitriformes","Accipitridae","Buteogallus","coronatus",-999,"Crowned Solitary Eagle",-999,1,-999,2950,-999,-999,-999,-999,-999,100,-999,-999,-999,-999,-999,-999,-999,2950,-999,-999,-999,76,-999,-999,-999,-999,-999,-999,-999
