Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2016,I,Anas laysanensis,Aves,Anseriformes,Anatidae,Anas,MC,FR,XX,2,,live,,Z,I
2016,I,Asarcornis scutulata,Aves,Anseriformes,Anatidae,Asarcornis,GB,JE,GB,1,1,bodies,,S,C
2016,I,Asarcornis scutulata,Aves,Anseriformes,Anatidae,Asarcornis,GB,JE,,1,2,bodies,,S,C
2016,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,CN,GB,,1,,bodies,,Q,C
2016,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,MC,FR,XX,2,,live,,Z,I
2016,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,SG,NL,,,4,live,,T,C
2016,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,SG,NL,,4,,live,,Z,C
2016,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,ZA,NL,,,10,live,,T,C
2016,I,Antilocapra americana,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,BE,CH,XX,1,,skins,,Q,O
2016,I,Antilocapra americana,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,CH,BE,XX,,1,skins,,Q,O
2016,I,Pachypodium baronii,,Gentianales,Apocynaceae,Pachypodium,JP,NL,,1,1,live,,T,D
2016,I,Pachypodium decaryi,,Gentianales,Apocynaceae,Pachypodium,JP,TH,,5,,live,,T,D
2016,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,BE,CL,,,7.5,live,,T,A
2016,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,BE,CL,,7500,,live,,T,D
2016,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,CH,BE,CL,,8,live,,T,A
2016,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,CH,DE,,,4,live,,T,A
2016,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,CH,IT,,,163,live,,T,D
2016,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,JP,NL,CL,139,,live,,T,D
2016,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,NL,CL,,,60,live,,T,A
2016,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,NL,CL,,30000,,live,,T,D
2016,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,US,NL,GB,19,10,seeds,kg,T,D
2016,I,Oreonax flavicauda,Mammalia,Primates,Atelidae,Oreonax,DE,PE,,,20,hair,,S,W
2016,I,Oreonax flavicauda,Mammalia,Primates,Atelidae,Oreonax,DE,PE,,70,50,specimens,,S,W
2016,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,AT,CH,XX,7,,carvings,,S,O
2016,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,AT,CH,XX,1,,carvings,,S,W
2016,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,GL,,,700,specimens,g,S,W
2016,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,,11,baleen,,P,I
2016,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,,3,baleen,,P,W
2016,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,,1,bone pieces,,P,I
2016,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DE,CH,XX,1,,carvings,,P,O
2016,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DE,RU,XX,2,,carvings,,Q,O
2016,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,1,2,baleen,,P,W
2016,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,NL,NO,GL,,1438,specimens,,S,W
2016,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,NL,US,XX,1,1,carvings,,Q,O
2016,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,NO,GL,,500,500,specimens,g,S,W
2016,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,RU,US,RU,,20,specimens,,S,W
2016,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,US,1,,baleen,,P,W
2016,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,,1,,bone carvings,,P,O
2016,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,NL,XX,1,,bone carvings,,Q,O
2016,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,NL,XX,,1,carvings,,Q,O
2016,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,FR,TN,XX,1,,specimens,,E,O
2016,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,XX,TN,XX,,1,specimens,,E,O
2016,I,Eubalaena spp.,Mammalia,Cetacea,Balaenidae,Eubalaena,FR,CH,XX,36.33,,carvings,,Q,O
2016,I,Eubalaena spp.,Mammalia,Cetacea,Balaenidae,Eubalaena,FR,TN,XX,3,,teeth,,E,O
2016,I,Eubalaena spp.,Mammalia,Cetacea,Balaenidae,Eubalaena,XX,TN,XX,,3,specimens,,E,O
2016,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,GB,US,BR,,60,specimens,,S,W
2016,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,JP,ZZ,,5,,skin pieces,g,S,X
2016,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,XX,TN,DK,,1,specimens,,E,O
2016,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,CA,US,,,25,skin pieces,,S,W
2016,I,Balaenoptera spp.,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,CV,,,1,baleen,,S,U
2016,I,Balaenoptera spp.,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,CV,,,10,specimens,g,S,U
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,FO,NO,,,864,meat,kg,T,W
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,IS,NO,,,20,specimens,,S,W
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,NO,,,199000,meat,kg,T,W
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,10,,skin pieces,g,S,X
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,KR,CN,,,26,specimens,,E,W
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,AU,ES,1,,specimens,,S,W
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,DE,NO,1,,meat,,P,I
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,FI,,1,,meat,,P,I
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,IS,,230,,meat,g,P,I
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,IS,,1,,meat,kg,P,I
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,IS,,3,,meat,,P,I
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,NO,XX,300,,meat,g,P,I
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,NO,,1970,,meat,g,P,I
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,NO,,0.85,,meat,kg,P,I
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,NO,,32,,meat,,P,I
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,NO,,1,,meat,,P,W
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,NO,,4,,meat,,T,I
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,RU,,1,,bone carvings,,P,I
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,SE,NO,1,,meat,,P,I
2016,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,XX,,1,,meat,,P,I
2016,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,333,,bodies,,S,X
2016,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,45,,skin pieces,g,S,X
2016,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,AQ,,5,,skins,g,S,W
2016,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CA,US,1,,baleen,,P,W
2016,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DE,CL,,63,,specimens,,S,W
2016,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,90,,bodies,,S,X
2016,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,100,,skin pieces,g,S,X
2016,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,AU,FK,2,,specimens,,S,W
2016,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,JP,,,0.2,specimens,g,S,W
2016,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,JP,,1,,specimens,,S,W
2016,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,25,,bodies,,S,X
2016,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,220,,skin pieces,g,S,X
2016,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,JP,,,24.2,specimens,g,S,W
2016,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,JP,,91,,specimens,,S,W
2016,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,ES,IS,,10,,skin pieces,,S,W
2016,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,15,,skin pieces,g,S,X
2016,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,NO,,,5,specimens,,S,W
2016,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,JP,,850,,meat,g,P,I
2016,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,JP,,,0.4,specimens,g,S,W
2016,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,JP,,1,,specimens,,S,W
2016,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,MX,,1,,bones,,P,I
2016,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,NZ,,12,,specimens,,S,W
2016,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,US,,,4,specimens,,S,W
2016,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DK,GL,,,1,jewellery,,P,W
2016,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,ES,GL,,,10,baleen,,S,W
2016,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,ES,GL,,,10,specimens,,S,W
2016,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,ES,IS,,100,,skin pieces,,S,W
2016,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,15,,skin pieces,g,S,X
2016,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,NO,,,2,specimens,,S,W
2016,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,GB,,8,,specimens,,S,W
2016,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,JP,,,0.1,specimens,g,S,W
2016,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,JP,,1,,specimens,,S,W
2016,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,CA,US,,,11,specimens,,S,W
2016,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,DE,VC,,1,,bones,,P,W
2016,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,DK,GL,,2,3,baleen,,P,W
2016,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,DK,GL,,,1,jewellery,,P,W
2016,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,DK,GL,,18,83,specimens,,S,W
2016,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,ES,IS,,10,,skin pieces,,S,W
2016,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,FR,MG,,,98,specimens,,S,W
2016,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,FR,TN,XX,1,,specimens,,E,W
2016,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,GB,US,XX,,1,baleen,,Q,O
2016,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,JP,ZZ,,80,,skin pieces,g,S,X
2016,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,NL,NO,,,168,specimens,,S,W
2016,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,SE,GL,,,1,specimens,,S,W
2016,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,AQ,,144,,skins,g,S,W
2016,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,AQ,,40,,specimens,g,S,W
2016,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,AU,,158,,specimens,,S,W
2016,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,CA,,16,,specimens,,S,W
2016,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,GB,US,26,,specimens,,S,W
2016,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,NZ,,47,,specimens,,S,W
2016,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,OM,,49,49,specimens,,S,W
2016,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,XX,TN,FR,,1,skin pieces,,E,O
2016,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,ZA,NA,,,1,skeletons,,E,W
2016,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,ID,FR,,,4,live,,Z,F
2016,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,IR,DE,,,22,live,,T,C
2016,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,XX,IT,DE,,2,live,,Q,C
2016,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,ID,FR,,,4,live,,Z,F
2016,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,AR,US,,1,1,trophies,,H,F
2016,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,CA,US,,,1,trophies,,H,F
2016,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,FR,FR,US,1,1,trophies,,P,C
2016,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,FR,US,,,1,trophies,,H,F
2016,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,GB,QA,,,6,specimens,,S,F
2016,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,HU,US,,3,,trophies,,H,F
2016,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,IT,US,,,2,trophies,,H,F
2016,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,MX,US,,,2,trophies,,H,F
2016,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,OM,AE,,,2,live,,P,C
2016,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,PK,AE,,,10,live,,T,C
2016,I,Bos gaurus,Mammalia,Artiodactyla,Bovidae,Bos,VN,DE,,,5,live,,Z,C
2016,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,AE,SK,,,2,bodies,,H,C
2016,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,AT,TJ,,1,,trophies,,H,W
2016,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,BY,RU,BY,4,,live,,Z,C
2016,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,CA,PK,,,1,trophies,,H,W
2016,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,DE,PK,,1,1,trophies,,H,W
2016,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,DE,TJ,,1,,trophies,,H,W
2016,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,ES,PK,,,1,trophies,,H,W
2016,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,FI,RU,,2,,live,,Z,C
2016,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,ID,DE,,,5,live,,Z,C
2016,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,MX,PK,,,1,trophies,,H,W
2016,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,MX,US,,,1,trophies,,H,F
2016,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,NO,DK,PK,,1,trophies,,H,W
2016,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,NO,DK,XX,1,,trophies,,H,W
2016,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,PH,DE,TJ,,1,trophies,,H,W
2016,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,PH,DE,TJ,1,,trophies,,P,W
2016,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,RU,BY,,,1,live,,T,C
2016,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,SG,FI,,4,4,live,,Z,C
2016,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,US,CA,PK,1,,trophies,,H,W
2016,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,US,PK,,2,2,trophies,,H,W
2016,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,US,TJ,,3,,trophies,,H,W
2016,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,UZ,RU,,1,,live,,Z,C
2016,I,Capricornis milneedwardsii,Mammalia,Artiodactyla,Bovidae,Capricornis,US,LA,,2,,horns,,P,I
2016,I,Capricornis sumatraensis,Mammalia,Artiodactyla,Bovidae,Capricornis,US,LA,XX,1,,bone pieces,,P,I
2016,I,Capricornis sumatraensis,Mammalia,Artiodactyla,Bovidae,Capricornis,US,LA,XX,4,,horns,,P,I
2016,I,Capricornis sumatraensis,Mammalia,Artiodactyla,Bovidae,Capricornis,US,LA,XX,26,,specimens,g,P,I
2016,I,Capricornis sumatraensis,Mammalia,Artiodactyla,Bovidae,Capricornis,US,LA,,2,,horns,,P,I
2016,I,Capricornis sumatraensis,Mammalia,Artiodactyla,Bovidae,Capricornis,US,LA,,1,,skulls,,P,I
2016,I,Gazella spp.,Mammalia,Artiodactyla,Bovidae,Gazella,TN,ES,,1,,live,,N,C
2016,I,Gazella cuvieri,Mammalia,Artiodactyla,Bovidae,Gazella,TN,ES,,14,43,live,,N,C
2016,I,Hippotragus niger variani,Mammalia,Artiodactyla,Bovidae,Hippotragus,CN,GB,AO,1,,bodies,,Q,O
2016,I,Hippotragus niger variani,Mammalia,Artiodactyla,Bovidae,Hippotragus,PT,US,AO,,4,specimens,,S,W
2016,I,Naemorhedus goral,Mammalia,Artiodactyla,Bovidae,Naemorhedus,KP,CN,,,1,bodies,,E,U
2016,I,Nanger dama,Mammalia,Artiodactyla,Bovidae,Nanger,IT,US,,,1,trophies,,H,F
2016,I,Nanger dama,Mammalia,Artiodactyla,Bovidae,Nanger,MX,US,,,1,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AE,US,,,34,live,,B,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AR,ZA,,1,,trophies,,H,W
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AT,ZA,,2,,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,BE,ZA,,2,,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,US,,,2,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CZ,ZA,,2,,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DE,ZA,,3,,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DK,XX,ZA,1,,trophies,,H,W
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DK,ZA,,1,,skins,,H,W
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DK,ZA,,1,,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DK,ZA,,2,,trophies,,H,W
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,,5,,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FI,ZA,,2,,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FR,FR,NA,1,1,trophies,,P,W
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FR,FR,US,1,1,trophies,,P,C
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FR,US,,,1,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FR,US,,1,,trophies,,P,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FR,ZA,,1,,trophies,,P,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,HU,ZA,,3,,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,IT,US,,,1,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,IT,ZA,,1,,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,LT,ZA,,1,,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,MX,US,,,1,trophies,,H,C
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,MX,US,,,2,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,OM,AE,BH,,2,live,,P,C
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,PK,ZA,,2,,trophies,,H,W
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,PT,ZA,,1,,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,RS,ZA,,3,,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,SE,ZA,,3,,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,SK,ZA,,1,,bodies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,SK,ZA,,5,,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,TD,AE,,,50,live,,N,C
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,US,BE,XX,1,,fur product (small),,T,I
